,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
380,Esso,68%,RU,2019-07-11,64%,55.93°,158.7°,54.05°F,6.85 mph
381,Salina,1%,US,2019-07-11,45%,38.84°,-97.61°,88.0°F,6.93 mph
382,Biak,100%,ID,2019-07-11,96%,-0.91°,122.88°,64.49°F,5.53 mph
383,Abilene,20%,US,2019-07-11,49%,32.45°,-99.73°,95.0°F,10.29 mph
384,Kohat,0%,PK,2019-07-11,68%,33.6°,71.44°,77.27°F,4.23 mph
385,Alice Springs,100%,AU,2019-07-11,52%,-23.7°,133.88°,44.6°F,4.7 mph
386,Traverse City,90%,US,2019-07-11,68%,44.76°,-85.62°,70.0°F,4.7 mph
387,Ulladulla,40%,AU,2019-07-11,54%,-35.36°,150.48°,60.01°F,6.93 mph
388,Coquimbo,9%,CL,2019-07-11,91%,-29.95°,-71.34°,54.05°F,13.35 mph
389,Marsa Matruh,0%,EG,2019-07-11,53%,31.35°,27.25°,77.0°F,5.82 mph
390,Deputatskiy,68%,RU,2019-07-11,57%,69.3°,139.9°,68.45°F,8.84 mph
391,Byron Bay,0%,AU,2019-07-11,76%,-28.65°,153.62°,64.0°F,1.12 mph
392,Pavlodar,0%,KZ,2019-07-11,87%,52.28°,76.96°,55.4°F,8.95 mph
393,General Roca,40%,AR,2019-07-11,71%,-39.03°,-67.58°,50.0°F,4.7 mph
394,Sagaing,75%,MM,2019-07-11,88%,21.88°,95.98°,78.8°F,13.87 mph
395,Palimbang,40%,PH,2019-07-11,88%,14.9°,120.78°,84.0°F,2.24 mph
396,Ewa Beach,40%,US,2019-07-11,52%,21.32°,-158.01°,89.6°F,12.75 mph
397,Harper,1%,US,2019-07-11,36%,30.3°,-99.24°,93.2°F,10.29 mph
398,Turayf,0%,SA,2019-07-11,39%,31.68°,38.65°,80.6°F,13.87 mph
399,Oriximina,84%,BR,2019-07-11,72%,-1.77°,-55.87°,80.69°F,3.83 mph
400,Butterworth,75%,MY,2019-07-11,83%,5.4°,100.37°,78.8°F,3.36 mph
401,Flin Flon,90%,CA,2019-07-11,77%,54.77°,-101.88°,60.8°F,6.93 mph
402,Daru,100%,PG,2019-07-11,67%,-9.07°,143.21°,77.81°F,10.69 mph
403,Mecca,56%,SA,2019-07-11,27%,21.43°,39.83°,82.49°F,3.94 mph
404,Kota Tinggi,75%,MY,2019-07-11,83%,1.73°,103.9°,82.4°F,8.05 mph
405,Hasaki,75%,JP,2019-07-11,100%,35.73°,140.83°,68.0°F,4.7 mph
406,Chokurdakh,100%,RU,2019-07-11,79%,70.62°,147.9°,56.21°F,8.75 mph
407,Mmathubudukwane,0%,BW,2019-07-11,43%,-24.61°,26.43°,50.0°F,4.7 mph
408,Plettenberg Bay,95%,ZA,2019-07-11,80%,-34.05°,23.37°,57.11°F,4.85 mph
409,Maues,34%,BR,2019-07-11,74%,-3.38°,-57.72°,76.73°F,1.5 mph
410,Abu Dhabi,0%,AE,2019-07-11,45%,24.47°,54.37°,89.6°F,2.24 mph
411,Fulton,90%,US,2019-07-11,54%,38.85°,-91.95°,82.99°F,9.17 mph
412,Strezhevoy,40%,RU,2019-07-11,72%,60.73°,77.6°,68.0°F,6.71 mph
413,Marabba,100%,SD,2019-07-11,60%,12.35°,32.18°,78.53°F,10.33 mph
414,Guangyuan,70%,CN,2019-07-11,94%,32.43°,105.86°,68.0°F,3.4 mph
415,Berlevag,0%,NO,2019-07-11,81%,70.86°,29.09°,43.97°F,6.76 mph
416,San Jose,75%,HN,2019-07-11,54%,14.25°,-87.96°,82.4°F,16.11 mph
417,San Andres,71%,PH,2019-07-11,79%,13.32°,122.68°,82.67°F,3.53 mph
418,Alliston,20%,CA,2019-07-11,60%,44.15°,-79.87°,80.01°F,14.99 mph
419,Sabancuy,66%,MX,2019-07-11,68%,18.97°,-91.18°,85.55°F,9.04 mph
420,Ambilobe,29%,MG,2019-07-11,77%,-13.19°,49.05°,69.89°F,7.25 mph
421,Hirara,20%,JP,2019-07-11,88%,24.8°,125.28°,84.2°F,10.29 mph
422,Winnemucca,1%,US,2019-07-11,11%,40.97°,-117.74°,98.6°F,12.75 mph
423,Inongo,100%,CD,2019-07-11,74%,-1.93°,18.29°,74.75°F,3.2 mph
424,Galesburg,40%,US,2019-07-11,58%,40.95°,-90.37°,86.0°F,11.41 mph
425,Walvis Bay,0%,NA,2019-07-11,93%,-22.95°,14.51°,60.8°F,3.36 mph
426,Leopoldina,0%,BR,2019-07-11,74%,-21.53°,-42.64°,59.0°F,1.01 mph
427,Inhambane,0%,MZ,2019-07-11,90%,-23.87°,35.38°,58.73°F,3.47 mph
428,Maniitsoq,10%,GL,2019-07-11,90%,65.42°,-52.9°,44.33°F,2.33 mph
429,Salina Cruz,100%,MX,2019-07-11,76%,16.18°,-95.2°,81.77°F,9.64 mph
430,Aripuana,35%,BR,2019-07-11,63%,-9.17°,-60.63°,77.63°F,0.92 mph
431,Rafaela,100%,AR,2019-07-11,57%,-31.25°,-61.49°,66.99°F,1.01 mph
432,Miracema do Tocantins,69%,BR,2019-07-11,51%,-9.56°,-48.4°,77.63°F,3.74 mph
433,Jumla,100%,NP,2019-07-11,98%,29.28°,82.18°,55.67°F,1.07 mph
434,Oudtshoorn,84%,ZA,2019-07-11,76%,-33.59°,22.2°,57.2°F,8.05 mph
435,Mosjoen,69%,NO,2019-07-11,87%,65.84°,13.19°,51.8°F,5.82 mph
436,Le Mars,1%,US,2019-07-11,48%,42.79°,-96.17°,84.2°F,5.82 mph
437,Cambrils,0%,ES,2019-07-11,83%,41.07°,1.07°,75.99°F,5.82 mph
438,Aguimes,20%,ES,2019-07-11,73%,27.91°,-15.45°,71.6°F,14.99 mph
439,Byumba,73%,RW,2019-07-11,80%,-1.58°,30.06°,56.03°F,3.15 mph
440,Along,100%,IN,2019-07-11,98%,28.17°,94.8°,57.83°F,1.36 mph
441,Pangnirtung,90%,CA,2019-07-11,40%,66.15°,-65.72°,69.8°F,13.87 mph
442,Cherskiy,100%,RU,2019-07-11,43%,68.75°,161.3°,76.37°F,5.95 mph
443,Parkes,58%,AU,2019-07-11,76%,-33.14°,148.18°,51.01°F,1.01 mph
444,Cam Ranh,20%,VN,2019-07-11,78%,11.92°,109.15°,80.6°F,3.36 mph
445,Kamina,0%,CD,2019-07-11,40%,-8.74°,25.0°,62.15°F,5.39 mph
446,Lagos,40%,NG,2019-07-11,94%,6.46°,3.39°,77.0°F,5.82 mph
447,Evensk,0%,RU,2019-07-11,44%,61.92°,159.24°,77.09°F,3.67 mph
448,Sombrio,96%,BR,2019-07-11,84%,-29.11°,-49.63°,54.77°F,1.74 mph
449,Kuytun,100%,RU,2019-07-11,93%,54.34°,101.51°,56.93°F,10.67 mph
450,Kirovskiy,100%,RU,2019-07-11,77%,45.09°,133.51°,67.73°F,3.33 mph
451,Puerto Wilches,20%,CO,2019-07-11,52%,7.35°,-73.9°,91.4°F,2.24 mph
452,Sovetskiy,98%,RU,2019-07-11,96%,56.76°,48.47°,52.79°F,8.23 mph
453,Iqaluit,90%,CA,2019-07-11,76%,63.75°,-68.52°,50.0°F,11.41 mph
454,Souillac,0%,FR,2019-07-11,52%,45.6°,-0.6°,69.8°F,4.7 mph
455,Lithgow,40%,AU,2019-07-11,62%,-33.48°,150.16°,57.99°F,11.41 mph
456,Itoman,75%,JP,2019-07-11,89%,26.12°,127.67°,84.2°F,8.05 mph
457,Smithers,75%,CA,2019-07-11,56%,54.78°,-127.17°,69.8°F,3.36 mph
458,Adrar,12%,DZ,2019-07-11,17%,27.87°,-0.29°,100.4°F,12.75 mph
459,Joshimath,95%,IN,2019-07-11,94%,30.57°,79.57°,55.49°F,1.59 mph
460,Belaya Gora,100%,RU,2019-07-11,64%,68.54°,146.19°,69.35°F,12.33 mph
461,Abalak,97%,NE,2019-07-11,31%,15.46°,6.28°,93.11°F,20.58 mph
462,Novyy Nekouz,41%,RU,2019-07-11,71%,57.91°,38.06°,42.35°F,3.94 mph
463,Ullapool,99%,GB,2019-07-11,90%,57.9°,-5.16°,59.0°F,2.42 mph
464,Gamba,100%,CN,2019-07-11,76%,28.28°,88.52°,42.35°F,3.65 mph
465,Sao Filipe,6%,CV,2019-07-11,86%,14.9°,-24.5°,72.05°F,17.94 mph
466,Komsomolskiy,97%,RU,2019-07-11,94%,67.55°,63.78°,54.77°F,12.8 mph
467,Ellensburg,1%,US,2019-07-11,39%,47.0°,-120.55°,87.01°F,17.22 mph
468,Miles City,1%,US,2019-07-11,29%,46.41°,-105.84°,91.4°F,12.75 mph
469,Mount Gambier,75%,AU,2019-07-11,87%,-37.83°,140.78°,50.0°F,17.22 mph
470,Ipixuna,40%,BR,2019-07-11,88%,-1.76°,-48.8°,77.0°F,9.17 mph
471,Khandyga,0%,RU,2019-07-11,30%,62.65°,135.58°,83.57°F,12.46 mph
472,Araouane,4%,ML,2019-07-11,31%,18.9°,-3.53°,93.11°F,13.69 mph
473,Narrabri,0%,AU,2019-07-11,81%,-30.33°,149.78°,50.0°F,5.82 mph
474,Mutoko,71%,ZW,2019-07-11,57%,-17.4°,32.23°,44.15°F,2.06 mph
475,Oceanside,1%,US,2019-07-11,54%,33.2°,-117.38°,91.99°F,9.17 mph
476,Pacific Grove,1%,US,2019-07-11,60%,36.62°,-121.92°,90.0°F,14.99 mph
477,Karmala,100%,IN,2019-07-11,87%,18.41°,75.19°,74.03°F,7.94 mph
478,Soma,75%,JP,2019-07-11,93%,37.8°,140.92°,64.4°F,3.36 mph
479,Ornskoldsvik,87%,SE,2019-07-11,71%,63.29°,18.72°,51.8°F,1.12 mph
480,Sorong,85%,ID,2019-07-11,81%,-0.86°,131.25°,78.53°F,12.26 mph
481,Yeppoon,40%,AU,2019-07-11,87%,-23.13°,150.74°,57.2°F,2.95 mph
482,Belmonte,0%,PT,2019-07-11,79%,40.36°,-7.35°,80.01°F,2.84 mph
483,Larap,52%,PH,2019-07-11,75%,14.3°,122.65°,83.75°F,4.63 mph
484,Lufilufi,40%,WS,2019-07-11,79%,-13.87°,-171.6°,86.0°F,5.82 mph
485,Diapaga,79%,BF,2019-07-11,71%,12.07°,1.79°,80.33°F,6.93 mph
486,Taganak,75%,PH,2019-07-11,100%,6.08°,118.3°,75.2°F,1.12 mph
487,Magadan,0%,RU,2019-07-11,80%,59.56°,150.8°,54.41°F,3.11 mph
488,Muisne,40%,EC,2019-07-11,79%,0.61°,-80.02°,84.2°F,10.29 mph
489,Lubango,0%,AO,2019-07-11,60%,-14.92°,13.49°,57.29°F,1.68 mph
490,Katobu,7%,ID,2019-07-11,77%,-4.94°,122.53°,77.27°F,6.89 mph
491,Wanning,75%,AT,2019-07-11,87%,48.64°,13.53°,60.01°F,6.93 mph
492,Kahului,20%,US,2019-07-11,40%,20.89°,-156.47°,91.4°F,16.11 mph
493,Imeni Poliny Osipenko,100%,RU,2019-07-11,96%,52.42°,136.49°,59.45°F,5.59 mph
494,Bundaberg,0%,AU,2019-07-11,62%,-24.87°,152.35°,73.0°F,6.93 mph
495,Mongo,95%,CD,2019-07-11,81%,-5.62°,14.6°,68.09°F,6.38 mph
496,Comodoro Rivadavia,0%,AR,2019-07-11,70%,-45.87°,-67.48°,46.4°F,2.24 mph
497,Petawawa,40%,CA,2019-07-11,83%,45.89°,-77.27°,79.0°F,7.52 mph
498,Cayenne,64%,GF,2019-07-11,94%,4.94°,-52.33°,75.2°F,2.24 mph
499,Kysyl-Syr,61%,RU,2019-07-11,54%,63.9°,122.77°,77.09°F,3.91 mph
500,Mahajanga,20%,MG,2019-07-11,88%,-15.72°,46.32°,73.4°F,2.24 mph
501,Sur,70%,OM,2019-07-11,55%,22.57°,59.53°,82.49°F,10.92 mph
502,Mwinilunga,0%,ZM,2019-07-11,41%,-11.73°,24.43°,53.51°F,5.82 mph
503,Terme,75%,TR,2019-07-11,88%,41.21°,36.97°,68.0°F,11.41 mph
504,Namasuba,75%,UG,2019-07-11,83%,0.69°,32.42°,64.67°F,3.0 mph
505,Sabang,17%,PH,2019-07-11,80%,13.8°,121.11°,81.59°F,2.13 mph
506,Aksarka,95%,RU,2019-07-11,87%,66.56°,67.8°,58.01°F,12.46 mph
507,Baijiantan,18%,CN,2019-07-11,35%,45.63°,85.18°,70.25°F,0.49 mph
508,Kapiri Mposhi,0%,ZM,2019-07-11,53%,-13.97°,28.68°,46.49°F,5.21 mph
509,Naze,100%,NG,2019-07-11,97%,5.43°,7.07°,72.05°F,3.31 mph
510,Mountain Home,1%,US,2019-07-11,16%,43.13°,-115.69°,95.0°F,12.75 mph
511,Ponta Delgada,20%,PT,2019-07-11,83%,37.73°,-25.67°,69.8°F,4.7 mph
512,Teya,90%,MX,2019-07-11,66%,21.05°,-89.07°,88.0°F,11.41 mph
513,Hongjiang,100%,CN,2019-07-11,99%,27.21°,109.83°,69.35°F,2.15 mph
514,Johnson City,20%,US,2019-07-11,88%,36.31°,-82.35°,75.2°F,2.84 mph
515,Qaqortoq,20%,GL,2019-07-11,58%,60.72°,-46.03°,53.6°F,8.05 mph
516,Ituporanga,68%,BR,2019-07-11,95%,-27.41°,-49.6°,55.99°F,1.3 mph
517,Waingapu,43%,ID,2019-07-11,77%,-9.65°,120.26°,72.23°F,13.24 mph
518,Nishihara,75%,JP,2019-07-11,100%,35.74°,139.53°,71.01°F,11.41 mph
519,Yaan,83%,NG,2019-07-11,94%,7.38°,8.57°,71.33°F,3.04 mph
520,Piacabucu,7%,BR,2019-07-11,89%,-10.41°,-36.43°,73.85°F,9.37 mph
521,Bonoua,20%,CI,2019-07-11,94%,5.27°,-3.6°,75.2°F,3.36 mph
522,Rio Gallegos,90%,AR,2019-07-11,100%,-51.62°,-69.22°,39.2°F,15.32 mph
523,Wuwei,66%,CN,2019-07-11,38%,37.93°,102.64°,70.79°F,4.52 mph
524,Aswan,0%,EG,2019-07-11,22%,24.09°,32.9°,89.6°F,4.7 mph
525,Rantepao,28%,ID,2019-07-11,92%,-2.97°,119.9°,61.43°F,3.0 mph
526,Masuguru,0%,MZ,2019-07-11,74%,-11.38°,38.46°,65.03°F,4.72 mph
527,Villanueva de Cordoba,0%,ES,2019-07-11,51%,38.32°,-4.63°,82.4°F,11.41 mph
528,Nhulunbuy,90%,AU,2019-07-11,94%,-12.18°,136.78°,73.4°F,5.82 mph
529,Karratha,0%,AU,2019-07-11,25%,-20.74°,116.85°,70.43°F,15.32 mph
530,Vanimo,64%,PG,2019-07-11,75%,-2.67°,141.3°,80.15°F,3.04 mph
531,Osasco,0%,BR,2019-07-11,59%,-23.53°,-46.79°,66.2°F,4.7 mph
532,Humaita,0%,AR,2019-07-11,77%,-24.93°,-65.37°,66.2°F,5.82 mph
533,Necochea,100%,AR,2019-07-11,87%,-38.55°,-58.74°,48.99°F,1.99 mph
534,Kastamonu,75%,TR,2019-07-11,99%,41.38°,33.78°,50.27°F,2.91 mph
535,Nenjiang,99%,CN,2019-07-11,88%,49.17°,125.23°,69.17°F,4.43 mph
536,Kuito,0%,AO,2019-07-11,32%,-12.38°,16.94°,52.07°F,3.76 mph
537,Ilhabela,11%,BR,2019-07-11,73%,-23.78°,-45.36°,69.17°F,8.55 mph
538,Ardalstangen,66%,NO,2019-07-11,97%,61.24°,7.7°,57.0°F,2.3 mph
539,Orange Cove,1%,US,2019-07-11,32%,36.62°,-119.31°,100.99°F,8.05 mph
540,Ritchie,0%,ZA,2019-07-11,46%,-29.03°,24.6°,53.6°F,2.06 mph
541,Tautira,75%,PF,2019-07-11,66%,-17.73°,-149.15°,84.2°F,13.87 mph
542,Sorland,11%,NO,2019-07-11,87%,67.67°,12.69°,48.65°F,23.76 mph
543,Ozinki,100%,RU,2019-07-11,93%,51.2°,49.73°,61.79°F,0.78 mph
544,Kobryn,48%,BY,2019-07-11,89%,52.21°,24.36°,52.43°F,5.66 mph
545,Antanifotsy,60%,MG,2019-07-11,96%,-19.66°,47.32°,45.59°F,4.76 mph
546,Maningrida,24%,AU,2019-07-11,61%,-12.05°,134.23°,77.99°F,9.31 mph
547,Tinglev,75%,DK,2019-07-11,93%,54.93°,9.25°,61.0°F,2.24 mph
548,Yerbogachen,77%,RU,2019-07-11,64%,61.28°,108.01°,63.95°F,8.48 mph
549,Buala,93%,SB,2019-07-11,76%,-8.15°,159.59°,82.85°F,14.27 mph
550,Luganville,90%,VU,2019-07-11,83%,-15.51°,167.18°,80.6°F,11.41 mph
551,Manta,3%,RO,2019-07-11,77%,45.1°,24.1°,51.35°F,4.32 mph
552,Praya,20%,ID,2019-07-11,100%,-8.71°,116.27°,68.0°F,1.12 mph
553,Berdychiv,0%,UA,2019-07-11,95%,49.89°,28.58°,50.09°F,7.34 mph
554,Pedasi,86%,PA,2019-07-11,88%,7.53°,-80.03°,76.37°F,0.96 mph
555,Damietta,0%,EG,2019-07-11,79%,31.42°,31.81°,84.2°F,8.05 mph
556,Pathein,100%,MM,2019-07-11,90%,16.78°,94.73°,79.61°F,6.24 mph
557,Cazzago San Martino,40%,IT,2019-07-11,78%,45.58°,10.03°,75.2°F,5.82 mph
558,Nueva Gerona,100%,CU,2019-07-11,69%,21.88°,-82.8°,84.11°F,7.74 mph
559,Pochutla,40%,MX,2019-07-11,66%,15.74°,-96.47°,86.0°F,6.93 mph
560,Fortuna,20%,US,2019-07-11,77%,40.6°,-124.16°,68.0°F,16.11 mph
561,Nemuro,100%,JP,2019-07-11,85%,43.32°,145.57°,56.03°F,15.7 mph
562,Mbigou,100%,GA,2019-07-11,92%,-1.9°,11.91°,67.55°F,2.04 mph
563,Campbell River,75%,CA,2019-07-11,64%,50.02°,-125.24°,72.0°F,5.82 mph
564,Northam,20%,AU,2019-07-11,93%,-31.65°,116.67°,44.6°F,1.12 mph
565,Sinnamary,0%,GF,2019-07-11,81%,5.38°,-52.96°,81.23°F,15.9 mph
566,Kathu,0%,ZA,2019-07-11,51%,-27.7°,23.05°,39.99°F,3.36 mph
567,Kharan,0%,PK,2019-07-11,57%,28.58°,65.42°,81.41°F,5.61 mph
568,Aykhal,90%,RU,2019-07-11,87%,65.95°,111.51°,59.0°F,2.24 mph
569,Bom Jesus,40%,BR,2019-07-11,88%,-5.99°,-35.58°,75.2°F,3.36 mph
570,Pierre,1%,US,2019-07-11,46%,44.37°,-100.35°,91.99°F,16.11 mph
